Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,EComposer product countdown end at (product.metafields.ecomposer.countdown),EComposer product countdown start at (product.metafields.ecomposer.countdown_from),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Age group (product.metafields.shopify.age-group),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Size (product.metafields.shopify.size),Target gender (product.metafields.shopify.target-gender),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / India,Price / India,Compare At Price / India,Status
peach-cotton-frock-with-collar,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,0,deny,manual,650.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-frock-with-collar,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,2,deny,manual,650.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-frock-with-collar,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,3,deny,manual,690.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-frock-with-collar,,,,,,,,,7-8-year,,,,,,,,,0.0,shopify,2,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
rama-green-over-lap-cotton-frock,Rama Green Over Lap Cotton Frock,"",Papillon Ethinics,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Dresses,Cotton Frock,"",true,Size,6-12-months,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,680.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2287.png?v=1781338365,1,"",false,,,5424,,,,,,,,,,,,,,'0,,green,cotton,6-12-months; 1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year; 7-8-year,,,,,,,kg,,,true,,,active
rama-green-over-lap-cotton-frock,,,,,,,,,1-2-year,,,,,,,,,0.0,shopify,0,deny,manual,680.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
rama-green-over-lap-cotton-frock,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,1,deny,manual,680.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
rama-green-over-lap-cotton-frock,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,2,deny,manual,680.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
rama-green-over-lap-cotton-frock,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,2,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
rama-green-over-lap-cotton-frock,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,4,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
rama-green-over-lap-cotton-frock,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,2,deny,manual,750.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
rama-green-over-lap-cotton-frock,,,,,,,,,7-8-year,,,,,,,,,0.0,shopify,0,deny,manual,750.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
muslin-print-cotton-frock,Muslin Print Cotton Frock,"",Papillon Ethinics,Apparel & Accessories > Clothing > Baby & Toddler Clothing > Baby & Toddler Dresses,Cotton Frock,"",true,Size,6-12-months,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,500.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2264.png?v=1781338195,1,"",false,,,5424,,,,,,,,,,,,,,'0,,peach-pink; baby-pink,cotton,6-12-months; 1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year; 7-8-year,,,,,,,kg,,,true,,,active
muslin-print-cotton-frock,,,,,,,,,1-2-year,,,,,,,,,0.0,shopify,0,deny,manual,500.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
muslin-print-cotton-frock,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,1,deny,manual,650.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
muslin-print-cotton-frock,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,2,deny,manual,650.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
muslin-print-cotton-frock,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,2,deny,manual,690.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
muslin-print-cotton-frock,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,3,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
muslin-print-cotton-frock,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,3,deny,manual,740.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
muslin-print-cotton-frock,,,,,,,,,7-8-year,,,,,,,,,0.0,shopify,2,deny,manual,800.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
teal-sleeveless-cotton-co-ord-set,Teal Sleeveless Cotton Co-ord Set,"",Papillon Ethinics,Apparel & Accessories > Clothing > Outfit Sets,Co-ord set,cotton,true,Size,1-2-year,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,630.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2286.png?v=1781337360,1,"",false,,,7313,,,,,,,,,,,,,,'0,,white; copper,,1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year,,,,,,,kg,,,true,,,active
teal-sleeveless-cotton-co-ord-set,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,0,deny,manual,630.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
teal-sleeveless-cotton-co-ord-set,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,1,deny,manual,630.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
teal-sleeveless-cotton-co-ord-set,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,0,deny,manual,690.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
teal-sleeveless-cotton-co-ord-set,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,3,deny,manual,690.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
teal-sleeveless-cotton-co-ord-set,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,1,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
hot-air-balloon-print-sleeveless-cotton-co-ord-set,Hot Air Balloon Print Sleeveless Cotton Co-ord Set,"",Papillon Ethinics,Apparel & Accessories > Clothing > Outfit Sets,Co-ord set,cotton,true,Size,1-2-year,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,650.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2275.png?v=1781287777,1,"",false,,,7313,,,,,,,,,,,,,,'0,,white; copper,,1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year,,,,,,,kg,,,true,,,active
hot-air-balloon-print-sleeveless-cotton-co-ord-set,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,0,deny,manual,650.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
hot-air-balloon-print-sleeveless-cotton-co-ord-set,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,2,deny,manual,650.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
hot-air-balloon-print-sleeveless-cotton-co-ord-set,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,0,deny,manual,680.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
hot-air-balloon-print-sleeveless-cotton-co-ord-set,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,1,deny,manual,680.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
hot-air-balloon-print-sleeveless-cotton-co-ord-set,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,0,deny,manual,680.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
off-white-sleeveless-cotton-co-ord-set,Off-White Sleeveless Cotton Co-ord Set,"",Papillon Ethinics,Apparel & Accessories > Clothing > Outfit Sets,Co-ord set,cotton,true,Size,1-2-year,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,850.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2267.png?v=1781332345,1,"",false,,,7313,,,,,,,,,,,,,,'0,,white; pink,,1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year,,,,,,,kg,,,true,,,active
off-white-sleeveless-cotton-co-ord-set,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,2,deny,manual,850.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
off-white-sleeveless-cotton-co-ord-set,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,0,deny,manual,850.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
off-white-sleeveless-cotton-co-ord-set,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,0,deny,manual,900.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
off-white-sleeveless-cotton-co-ord-set,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,2,deny,manual,950.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
off-white-sleeveless-cotton-co-ord-set,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,0,deny,manual,1050.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
navy-blue-cotton-co-ord-set-with-frill,Navy Blue Cotton Co-ord Set with Frill,"",Papillon Ethinics,Apparel & Accessories > Clothing > Outfit Sets,Co-ord set,cotton,true,Size,1-2-year,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,650.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2279.png?v=1781332195,1,"",false,,,7313,,,,,,,,,,,,,,'0,,navy,,1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year,,,,,,,kg,,,true,,,active
navy-blue-cotton-co-ord-set-with-frill,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,0,deny,manual,650.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
navy-blue-cotton-co-ord-set-with-frill,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,1,deny,manual,650.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
navy-blue-cotton-co-ord-set-with-frill,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,2,deny,manual,670.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
navy-blue-cotton-co-ord-set-with-frill,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,3,deny,manual,690.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
navy-blue-cotton-co-ord-set-with-frill,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,2,deny,manual,720.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-co-ord-set-with-sleeves,Peach Cotton Co-ord Set with Sleeves,"",Papillon Ethinics,Apparel & Accessories > Clothing > Outfit Sets,Co-ord set,cotton,true,Size,1-2-year,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,630.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2277.png?v=1781287775,1,"",false,,,7313,,,,,,,,,,,,,,'0,,peach-pink,,1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year,,,,,,,kg,,,true,,,active
peach-cotton-co-ord-set-with-sleeves,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,2,deny,manual,630.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-co-ord-set-with-sleeves,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,2,deny,manual,630.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-co-ord-set-with-sleeves,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,3,deny,manual,660.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-co-ord-set-with-sleeves,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,2,deny,manual,690.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
peach-cotton-co-ord-set-with-sleeves,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,2,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-floral-cotton-co-ord-set,Yellow Floral Cotton Co-ord Set,"",Papillon Ethinics,Apparel & Accessories > Clothing > Outfit Sets,Co-ord set,cotton,true,Size,1-2-year,product.metafields.shopify.size,,,,,,,,0.0,shopify,0,deny,manual,630.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0702/8005/2956/files/IMG_2274.png?v=1781325563,1,"",false,,,7313,,,,,,,,,,,,,,'0,,yellow,,1-2-year; 2-year-3-year; 3-year-4-year; 4-5-years; 5-6-years; 6-7-year,,,,,,,kg,,,true,,,active
yellow-floral-cotton-co-ord-set,,,,,,,,,2-year-3-year,,,,,,,,,0.0,shopify,2,deny,manual,630.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-floral-cotton-co-ord-set,,,,,,,,,3-year-4-year,,,,,,,,,0.0,shopify,1,deny,manual,630.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-floral-cotton-co-ord-set,,,,,,,,,4-5-years,,,,,,,,,0.0,shopify,2,deny,manual,660.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-floral-cotton-co-ord-set,,,,,,,,,5-6-years,,,,,,,,,0.0,shopify,0,deny,manual,690.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
yellow-floral-cotton-co-ord-set,,,,,,,,,6-7-year,,,,,,,,,0.0,shopify,4,deny,manual,700.00,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,
